ATM Name,Transaction Date,No Of Withdrawals,Total amount Withdrawn (Rupee),Total amount Withdrawn (Rupiah),Weekday
Big Street ATM,01/01/11,50,123800,23136982,Saturday
Mount Road ATM,01/01/11,253,767900,143512831,Saturday
Airport ATM,01/01/11,98,503400,94080426,Saturday
KK Nagar ATM,01/01/11,265,945300,176667117,Saturday
Christ College ATM,01/01/11,74,287700,53768253,Saturday
Big Street ATM,02/01/11,17,52800,9867792,Sunday
Mount Road ATM,02/01/11,194,529300,98920877,Sunday
Airport ATM,02/01/11,67,268600,50198654,Sunday
KK Nagar ATM,02/01/11,260,809400,151268766,Sunday
Christ College ATM,02/01/11,80,300000,56067000,Sunday
Big Street ATM,03/01/11,24,88100,16465009,Monday
Mount Road ATM,03/01/11,246,897100,167659019,Monday
Airport ATM,03/01/11,109,603900,112862871,Monday
KK Nagar ATM,03/01/11,309,1333100,249143059,Monday
Christ College ATM,03/01/11,108,522800,97706092,Monday
Big Street ATM,04/01/11,34,101600,18988024,Tuesday
Mount Road ATM,04/01/11,246,826000,154371140,Tuesday
Airport ATM,04/01/11,113,541600,101219624,Tuesday
KK Nagar ATM,04/01/11,225,999400,186777866,Tuesday
Christ College ATM,04/01/11,143,737400,137812686,Tuesday
Big Street ATM,05/01/11,30,98000,18315220,Wednesday
Mount Road ATM,05/01/11,211,754400,140989816,Wednesday
Airport ATM,05/01/11,100,530000,99051700,Wednesday
KK Nagar ATM,05/01/11,255,959200,179264888,Wednesday
Christ College ATM,05/01/11,95,387300,72382497,Wednesday
Big Street ATM,06/01/11,29,85900,16053851,Thursday
Mount Road ATM,06/01/11,213,834200,155903638,Thursday
Airport ATM,06/01/11,96,434500,81203705,Thursday
KK Nagar ATM,06/01/11,211,820700,153380623,Thursday
Christ College ATM,06/01/11,116,430500,80456145,Thursday
Big Street ATM,07/01/11,23,76500,14297085,Friday
Mount Road ATM,07/01/11,172,575300,107517817,Friday
Airport ATM,07/01/11,85,334800,62570772,Friday
KK Nagar ATM,07/01/11,205,833500,155772815,Friday
Christ College ATM,07/01/11,85,345800,64626562,Friday
Big Street ATM,08/01/11,37,128600,24034054,Saturday
Mount Road ATM,08/01/11,212,792700,148147703,Saturday
Airport ATM,08/01/11,126,518900,96977221,Saturday
KK Nagar ATM,08/01/11,217,782100,146166669,Saturday
Christ College ATM,08/01/11,86,366500,68495185,Saturday
Big Street ATM,09/01/11,36,89000,16633210,Sunday
Mount Road ATM,09/01/11,311,751800,140503902,Sunday
Airport ATM,09/01/11,106,337100,63000619,Sunday
KK Nagar ATM,09/01/11,149,438000,81857820,Sunday
Christ College ATM,09/01/11,100,363800,67990582,Sunday
Big Street ATM,10/01/11,29,89800,16782722,Monday
Mount Road ATM,10/01/11,219,702200,131234158,Monday
Airport ATM,10/01/11,99,424200,79278738,Monday
KK Nagar ATM,10/01/11,224,949700,177489433,Monday
Christ College ATM,10/01/11,116,545400,101929806,Monday
Big Street ATM,11/01/11,42,111900,20912991,Tuesday
Mount Road ATM,11/01/11,232,506000,94566340,Tuesday
Airport ATM,11/01/11,101,390700,73017923,Tuesday
KK Nagar ATM,11/01/11,228,837900,156595131,Tuesday
Christ College ATM,11/01/11,92,343700,64234093,Tuesday
Big Street ATM,12/01/11,19,42700,7980203,Wednesday
Mount Road ATM,12/01/11,235,647600,121029964,Wednesday
Airport ATM,12/01/11,116,497200,92921708,Wednesday
KK Nagar ATM,12/01/11,198,769600,143830544,Wednesday
Christ College ATM,12/01/11,74,301300,56309957,Wednesday
Big Street ATM,13/01/11,22,81200,15175468,Thursday
Mount Road ATM,13/01/11,184,506300,94622407,Thursday
Airport ATM,13/01/11,103,411700,76942613,Thursday
KK Nagar ATM,13/01/11,223,771400,144166946,Thursday
Christ College ATM,13/01/11,143,510300,95369967,Thursday
Big Street ATM,14/01/11,25,91100,17025679,Friday
Mount Road ATM,14/01/11,179,451400,84362146,Friday
Airport ATM,14/01/11,109,458500,85689065,Friday
KK Nagar ATM,14/01/11,238,876400,163790396,Friday
Christ College ATM,14/01/11,91,373000,69709970,Friday
Big Street ATM,15/01/11,24,115900,21660551,Saturday
Mount Road ATM,15/01/11,97,200500,37471445,Saturday
Airport ATM,15/01/11,52,163300,30519137,Saturday
KK Nagar ATM,15/01/11,119,321400,60066446,Saturday
Christ College ATM,15/01/11,53,206800,38648852,Saturday
Big Street ATM,16/01/11,17,55100,10297639,Sunday
Mount Road ATM,16/01/11,77,205300,38368517,Sunday
Airport ATM,16/01/11,42,154100,28799749,Sunday
KK Nagar ATM,16/01/11,99,274100,51226549,Sunday
Christ College ATM,16/01/11,36,95200,17791928,Sunday
Big Street ATM,17/01/11,37,129800,24258322,Monday
Mount Road ATM,17/01/11,72,221900,41470891,Monday
Airport ATM,17/01/11,40,100000,18689000,Monday
KK Nagar ATM,17/01/11,188,524800,98079872,Monday
Christ College ATM,17/01/11,46,126800,23697652,Monday
Big Street ATM,18/01/11,29,163600,30575204,Tuesday
Mount Road ATM,18/01/11,123,405200,75727828,Tuesday
Airport ATM,18/01/11,86,343100,64121959,Tuesday
KK Nagar ATM,18/01/11,225,831200,155342968,Tuesday
Christ College ATM,18/01/11,82,380000,71018200,Tuesday
Big Street ATM,19/01/11,33,79500,14857755,Wednesday
Mount Road ATM,19/01/11,152,537700,100490753,Wednesday
Airport ATM,19/01/11,106,428900,80157121,Wednesday
KK Nagar ATM,19/01/11,183,649200,121328988,Wednesday
Christ College ATM,19/01/11,124,446800,83502452,Wednesday
Big Street ATM,20/01/11,25,81700,15268913,Thursday
Mount Road ATM,20/01/11,163,565500,105686295,Thursday
Airport ATM,20/01/11,89,298000,55693220,Thursday
KK Nagar ATM,20/01/11,120,445900,83334251,Thursday
Christ College ATM,20/01/11,140,571300,106770257,Thursday
Big Street ATM,21/01/11,21,86600,16184674,Friday
Mount Road ATM,21/01/11,139,450400,84175256,Friday
Airport ATM,21/01/11,67,350000,65411500,Friday
KK Nagar ATM,21/01/11,193,581500,108676535,Friday
Christ College ATM,21/01/11,90,386800,72289052,Friday
Big Street ATM,22/01/11,25,85400,15960406,Saturday
Mount Road ATM,22/01/11,151,455600,85147084,Saturday
Airport ATM,22/01/11,93,363600,67953204,Saturday
KK Nagar ATM,22/01/11,196,683300,127701937,Saturday
Christ College ATM,22/01/11,95,465300,86959917,Saturday
Big Street ATM,23/01/11,18,36800,6877552,Sunday
