TANGGAL,BARANG,SUPLIER,BULAN,TAHUN,KUARTAL,JUMLAH,HARGA,TOTAL
01/01/15,Cabai,Bejo,January,2015,Kuartal 1,55, IDR30.550 , IDR1.680.250 
06/01/15,Kunyit,Bejo,January,2015,Kuartal 1,72, IDR12.964 , IDR933.408 
11/01/15,Bawang Merah,Painah,January,2015,Kuartal 1,81, IDR28.875 , IDR2.338.875 
18/01/15,Bawang Putih,Tarno,January,2015,Kuartal 1,146, IDR20.812 , IDR3.038.552 
22/01/15,Kencur,Bejo,January,2015,Kuartal 1,159, IDR9.785 , IDR1.555.815 
29/01/15,Jahe,Tarno,January,2015,Kuartal 1,54, IDR24.829 , IDR1.340.766 
04/02/15,Cabai,Bejo,February,2015,Kuartal 1,92, IDR32.588 , IDR2.998.096 
06/02/15,Kunyit,Bejo,February,2015,Kuartal 1,154, IDR10.397 , IDR1.601.138 
14/02/15,Bawang Merah,Painah,February,2015,Kuartal 1,185, IDR28.256 , IDR5.227.360 
18/02/15,Bawang Putih,Bejo,February,2015,Kuartal 1,86, IDR20.970 , IDR1.803.420 
22/02/15,Kencur,Tarno,February,2015,Kuartal 1,193, IDR8.924 , IDR1.722.332 
26/02/15,Jahe,Painah,February,2015,Kuartal 1,156, IDR21.751 , IDR3.393.156 
03/03/15,Cabai,Painah,March,2015,Kuartal 1,162, IDR28.034 , IDR4.541.508 
08/03/15,Kunyit,Bejo,March,2015,Kuartal 1,148, IDR10.231 , IDR1.514.188 
13/03/15,Bawang Merah,Tarno,March,2015,Kuartal 1,140, IDR24.792 , IDR3.470.880 
19/03/15,Bawang Putih,Bejo,March,2015,Kuartal 1,81, IDR24.323 , IDR1.970.163 
22/03/15,Kencur,Tarno,March,2015,Kuartal 1,175, IDR9.733 , IDR1.703.275 
26/03/15,Jahe,Tarno,March,2015,Kuartal 1,66, IDR22.275 , IDR1.470.150 
01/04/15,Cabai,Bejo,April,2015,Kuartal 2,135, IDR26.969 , IDR3.640.815 
10/04/15,Kunyit,Tarno,April,2015,Kuartal 2,152, IDR10.393 , IDR1.579.736 
15/04/15,Bawang Merah,Tarno,April,2015,Kuartal 2,111, IDR29.408 , IDR3.264.288 
16/04/15,Bawang Putih,Painah,April,2015,Kuartal 2,60, IDR23.416 , IDR1.404.960 
22/04/15,Kencur,Painah,April,2015,Kuartal 2,188, IDR9.636 , IDR1.811.568 
29/04/15,Jahe,Painah,April,2015,Kuartal 2,138, IDR22.602 , IDR3.119.076 
04/05/15,Cabai,Tarno,May,2015,Kuartal 2,88, IDR28.125 , IDR2.475.000 
07/05/15,Kunyit,Tarno,May,2015,Kuartal 2,97, IDR12.279 , IDR1.191.063 
12/05/15,Bawang Merah,Tarno,May,2015,Kuartal 2,92, IDR26.915 , IDR2.476.180 
17/05/15,Bawang Putih,Tarno,May,2015,Kuartal 2,181, IDR21.755 , IDR3.937.655 
25/05/15,Kencur,Tarno,May,2015,Kuartal 2,95, IDR9.812 , IDR932.140 
28/05/15,Jahe,Painah,May,2015,Kuartal 2,59, IDR22.466 , IDR1.325.494 
01/06/15,Cabai,Tarno,June,2015,Kuartal 2,141, IDR31.927 , IDR4.501.707 
06/06/15,Kunyit,Bejo,June,2015,Kuartal 2,190, IDR14.491 , IDR2.753.290 
15/06/15,Bawang Merah,Bejo,June,2015,Kuartal 2,74, IDR25.083 , IDR1.856.142 
18/06/15,Bawang Putih,Painah,June,2015,Kuartal 2,166, IDR21.626 , IDR3.589.916 
21/06/15,Kencur,Bejo,June,2015,Kuartal 2,62, IDR9.973 , IDR618.326 
26/06/15,Jahe,Tarno,June,2015,Kuartal 2,54, IDR24.649 , IDR1.331.046 
05/07/15,Cabai,Bejo,July,2015,Kuartal 3,148, IDR34.622 , IDR5.124.056 
07/07/15,Kunyit,Tarno,July,2015,Kuartal 3,150, IDR13.053 , IDR1.957.950 
12/07/15,Bawang Merah,Painah,July,2015,Kuartal 3,117, IDR26.994 , IDR3.158.298 
16/07/15,Bawang Putih,Painah,July,2015,Kuartal 3,124, IDR24.893 , IDR3.086.732 
25/07/15,Kencur,Painah,July,2015,Kuartal 3,179, IDR9.085 , IDR1.626.215 
27/07/15,Jahe,Tarno,July,2015,Kuartal 3,76, IDR22.273 , IDR1.692.748 
03/08/15,Cabai,Painah,August,2015,Kuartal 3,187, IDR28.116 , IDR5.257.692 
06/08/15,Kunyit,Tarno,August,2015,Kuartal 3,83, IDR10.379 , IDR861.457 
14/08/15,Bawang Merah,Painah,August,2015,Kuartal 3,143, IDR23.851 , IDR3.410.693 
19/08/15,Bawang Putih,Tarno,August,2015,Kuartal 3,151, IDR21.661 , IDR3.270.811 
25/08/15,Kencur,Painah,August,2015,Kuartal 3,114, IDR8.110 , IDR924.540 
27/08/15,Jahe,Tarno,August,2015,Kuartal 3,178, IDR21.922 , IDR3.902.116 
04/09/15,Cabai,Painah,September,2015,Kuartal 3,184, IDR29.309 , IDR5.392.856 
10/09/15,Kunyit,Tarno,September,2015,Kuartal 3,122, IDR11.133 , IDR1.358.226 
14/09/15,Bawang Merah,Bejo,September,2015,Kuartal 3,171, IDR24.745 , IDR4.231.395 
18/09/15,Bawang Putih,Tarno,September,2015,Kuartal 3,86, IDR20.058 , IDR1.724.988 
22/09/15,Kencur,Bejo,September,2015,Kuartal 3,77, IDR8.094 , IDR623.238 
29/09/15,Jahe,Tarno,September,2015,Kuartal 3,109, IDR20.293 , IDR2.211.937 
02/10/15,Cabai,Painah,October,2015,Kuartal 4,73, IDR26.197 , IDR1.912.381 
10/10/15,Kunyit,Bejo,October,2015,Kuartal 4,186, IDR13.174 , IDR2.450.364 
12/10/15,Bawang Merah,Tarno,October,2015,Kuartal 4,86, IDR29.200 , IDR2.511.200 
19/10/15,Bawang Putih,Bejo,October,2015,Kuartal 4,125, IDR20.769 , IDR2.596.125 
23/10/15,Kencur,Tarno,October,2015,Kuartal 4,143, IDR9.948 , IDR1.422.564 
26/10/15,Jahe,Bejo,October,2015,Kuartal 4,176, IDR24.975 , IDR4.395.600 
02/11/15,Cabai,Tarno,November,2015,Kuartal 4,135, IDR28.172 , IDR3.803.220 
09/11/15,Kunyit,Bejo,November,2015,Kuartal 4,124, IDR14.226 , IDR1.764.024 
11/11/15,Bawang Merah,Bejo,November,2015,Kuartal 4,80, IDR24.335 , IDR1.946.800 
17/11/15,Bawang Putih,Painah,November,2015,Kuartal 4,119, IDR20.457 , IDR2.434.383 
23/11/15,Kencur,Tarno,November,2015,Kuartal 4,147, IDR9.291 , IDR1.365.777 
27/11/15,Jahe,Painah,November,2015,Kuartal 4,160, IDR23.175 , IDR3.708.000 
02/12/15,Cabai,Bejo,December,2015,Kuartal 4,143, IDR26.086 , IDR3.730.298 
06/12/15,Kunyit,Painah,December,2015,Kuartal 4,162, IDR12.140 , IDR1.966.680 
15/12/15,Bawang Merah,Tarno,December,2015,Kuartal 4,170, IDR23.126 , IDR3.931.420 
19/12/15,Bawang Putih,Painah,December,2015,Kuartal 4,94, IDR23.625 , IDR2.220.750 
23/12/15,Kencur,Tarno,December,2015,Kuartal 4,75, IDR9.665 , IDR724.875 
26/12/15,Jahe,Tarno,December,2015,Kuartal 4,91, IDR23.017 , IDR2.094.547 
03/01/16,Cabai,Tarno,January,2016,Kuartal 1,156, IDR29.044 , IDR4.530.864 
07/01/16,Kunyit,Bejo,January,2016,Kuartal 1,72, IDR11.372 , IDR818.784 
12/01/16,Bawang Merah,Tarno,January,2016,Kuartal 1,85, IDR22.579 , IDR1.919.215 
17/01/16,Bawang Putih,Painah,January,2016,Kuartal 1,159, IDR23.976 , IDR3.812.184 
21/01/16,Kencur,Tarno,January,2016,Kuartal 1,110, IDR8.471 , IDR931.810 
29/01/16,Jahe,Bejo,January,2016,Kuartal 1,152, IDR22.163 , IDR3.368.776 
04/02/16,Cabai,Painah,February,2016,Kuartal 1,53, IDR27.241 , IDR1.443.773 
10/02/16,Kunyit,Painah,February,2016,Kuartal 1,134, IDR10.559 , IDR1.414.906 
13/02/16,Bawang Merah,Bejo,February,2016,Kuartal 1,95, IDR22.764 , IDR2.162.580 
18/02/16,Bawang Putih,Tarno,February,2016,Kuartal 1,182, IDR24.389 , IDR4.438.798 
25/02/16,Kencur,Painah,February,2016,Kuartal 1,74, IDR8.480 , IDR627.520 
26/02/16,Jahe,Tarno,February,2016,Kuartal 1,170, IDR20.477 , IDR3.481.090 
05/03/16,Cabai,Painah,March,2016,Kuartal 1,63, IDR26.627 , IDR1.677.501 
06/03/16,Kunyit,Tarno,March,2016,Kuartal 1,78, IDR11.357 , IDR885.846 
15/03/16,Bawang Merah,Tarno,March,2016,Kuartal 1,116, IDR23.606 , IDR2.738.296 
16/03/16,Bawang Putih,Painah,March,2016,Kuartal 1,193, IDR22.858 , IDR4.411.594 
24/03/16,Kencur,Bejo,March,2016,Kuartal 1,192, IDR9.237 , IDR1.773.504 
27/03/16,Jahe,Bejo,March,2016,Kuartal 1,193, IDR21.557 , IDR4.160.501 
02/04/16,Cabai,Bejo,April,2016,Kuartal 2,164, IDR30.398 , IDR4.985.272 
10/04/16,Kunyit,Painah,April,2016,Kuartal 2,103, IDR10.177 , IDR1.048.231 
11/04/16,Bawang Merah,Painah,April,2016,Kuartal 2,86, IDR25.234 , IDR2.170.124 
17/04/16,Bawang Putih,Tarno,April,2016,Kuartal 2,129, IDR23.261 , IDR3.000.669 
21/04/16,Kencur,Bejo,April,2016,Kuartal 2,74, IDR8.185 , IDR605.690 
28/04/16,Jahe,Tarno,April,2016,Kuartal 2,109, IDR22.898 , IDR2.495.882 
01/05/16,Cabai,Tarno,May,2016,Kuartal 2,152, IDR25.165 , IDR3.825.080 
07/05/16,Kunyit,Tarno,May,2016,Kuartal 2,128, IDR13.360 , IDR1.710.080 
11/05/16,Bawang Merah,Tarno,May,2016,Kuartal 2,102, IDR22.500 , IDR2.295.000 
18/05/16,Bawang Putih,Tarno,May,2016,Kuartal 2,142, IDR23.703 , IDR3.365.826 
24/05/16,Kencur,Bejo,May,2016,Kuartal 2,128, IDR9.898 , IDR1.266.944 
29/05/16,Jahe,Painah,May,2016,Kuartal 2,59, IDR24.310 , IDR1.434.290 
05/06/16,Cabai,Painah,June,2016,Kuartal 2,157, IDR27.320 , IDR4.289.240 
06/06/16,Kunyit,Tarno,June,2016,Kuartal 2,114, IDR13.285 , IDR1.514.490 
15/06/16,Bawang Merah,Painah,June,2016,Kuartal 2,60, IDR29.773 , IDR1.786.380 
19/06/16,Bawang Putih,Tarno,June,2016,Kuartal 2,176, IDR23.247 , IDR4.091.472 
25/06/16,Kencur,Tarno,June,2016,Kuartal 2,126, IDR9.261 , IDR1.166.886 
28/06/16,Jahe,Tarno,June,2016,Kuartal 2,94, IDR20.744 , IDR1.949.936 
01/07/16,Cabai,Painah,July,2016,Kuartal 3,106, IDR25.935 , IDR2.749.110 
06/07/16,Kunyit,Bejo,July,2016,Kuartal 3,85, IDR14.472 , IDR1.230.120 
15/07/16,Bawang Merah,Tarno,July,2016,Kuartal 3,110, IDR28.126 , IDR3.093.860 
17/07/16,Bawang Putih,Tarno,July,2016,Kuartal 3,123, IDR23.326 , IDR2.869.098 
25/07/16,Kencur,Painah,July,2016,Kuartal 3,132, IDR8.573 , IDR1.131.636 
29/07/16,Jahe,Tarno,July,2016,Kuartal 3,174, IDR21.222 , IDR3.692.628 
03/08/16,Cabai,Bejo,August,2016,Kuartal 3,93, IDR25.970 , IDR2.415.210 
09/08/16,Kunyit,Painah,August,2016,Kuartal 3,139, IDR13.117 , IDR1.823.263 
14/08/16,Bawang Merah,Bejo,August,2016,Kuartal 3,142, IDR24.235 , IDR3.441.370 
19/08/16,Bawang Putih,Painah,August,2016,Kuartal 3,65, IDR20.927 , IDR1.360.255 
24/08/16,Kencur,Bejo,August,2016,Kuartal 3,188, IDR8.621 , IDR1.620.748 
26/08/16,Jahe,Bejo,August,2016,Kuartal 3,139, IDR23.419 , IDR3.255.241 
04/09/16,Cabai,Tarno,September,2016,Kuartal 3,167, IDR27.270 , IDR4.554.090 
09/09/16,Kunyit,Painah,September,2016,Kuartal 3,144, IDR14.031 , IDR2.020.464 
11/09/16,Bawang Merah,Painah,September,2016,Kuartal 3,151, IDR26.838 , IDR4.052.538 
17/09/16,Bawang Putih,Tarno,September,2016,Kuartal 3,144, IDR20.011 , IDR2.881.584 
23/09/16,Kencur,Tarno,September,2016,Kuartal 3,150, IDR9.393 , IDR1.408.950 
29/09/16,Jahe,Bejo,September,2016,Kuartal 3,175, IDR21.419 , IDR3.748.325 
03/10/16,Cabai,Painah,October,2016,Kuartal 4,138, IDR29.288 , IDR4.041.744 
09/10/16,Kunyit,Painah,October,2016,Kuartal 4,173, IDR11.321 , IDR1.958.533 
14/10/16,Bawang Merah,Tarno,October,2016,Kuartal 4,114, IDR22.399 , IDR2.553.486 
17/10/16,Bawang Putih,Painah,October,2016,Kuartal 4,95, IDR23.199 , IDR2.203.905 
